Date,BTCUSD,ETHUSD,XRPUSD,LTCUSD
2020-01-31 06-AM,"9351,85","182,69","0,2412","67,25"
2020-01-31 05-AM,"9320,05","180,96","0,2406","66,65"
2020-01-31 04-AM,"9394,94","181,93","0,2405","67,63"
2020-01-31 03-AM,"9430,25","182,92","0,2412","68,44"
2020-01-31 02-AM,"9427,01","182,9","0,2419","67,72"
2020-01-31 01-AM,"9479,31","183,9","0,2419","68,11"
2020-01-31 12-AM,"9454,13","184,07","0,2417","67,65"
2020-01-30 11-PM,9500,"184,3","0,2432","68,04"
2020-01-30 10-PM,"9555,11","186,37","0,2455","69,04"
2020-01-30 09-PM,"9544,76","184,86","0,244","69,22"
2020-01-30 08-PM,"9552,89","184,25","0,2438","69,76"
2020-01-30 07-PM,"9498,99","181,12","0,2403","68,48"
2020-01-30 06-PM,"9476,82","180,93","0,2395","67,99"
2020-01-30 05-PM,"9462,98","179,26","0,2382","67,65"
2020-01-30 04-PM,"9339,82","177,31","0,2371","67,75"
2020-01-30 03-PM,"9375,87","177,42","0,2384","65,79"
2020-01-30 02-PM,"9344,11","175,9","0,2363","64,03"
2020-01-30 01-PM,"9366,37","176,69","0,2371","64,19"
2020-01-30 12-PM,"9353,77","176,14","0,2382","63,35"
2020-01-30 11-AM,"9328,03","174,97","0,2349","61,62"
2020-01-30 10-AM,"9319,54","174,92","0,2348","61,22"
2020-01-30 09-AM,9335,"175,19","0,2364","61,49"
2020-01-30 08-AM,"9351,51","175,34","0,2352","61,67"
2020-01-30 07-AM,"9359,97","176,12","0,2364","61,86"
2020-01-30 06-AM,"9309,26","173,98","0,2339","59,47"
2020-01-30 05-AM,"9299,86","173,5","0,2336","59,4"
2020-01-30 04-AM,9308,"173,75","0,2339","59,78"
2020-01-30 03-AM,"9250,85","172,82","0,2329","59,08"
2020-01-30 02-AM,"9226,77","171,56","0,2319","58,85"
2020-01-30 01-AM,"9266,36","172,86","0,2324","59,05"
2020-01-30 12-AM,"9252,34","172,45","0,2327","58,66"
2020-01-29 11-PM,"9289,18","173,45","0,2347","59,87"
2020-01-29 10-PM,"9332,28","175,67","0,2367","59,91"
2020-01-29 09-PM,"9353,55","175,7","0,2366","60,2"
2020-01-29 08-PM,9379,"176,47","0,2365","60,52"
2020-01-29 07-PM,"9374,71","176,23","0,237","60,45"
2020-01-29 06-PM,"9355,82",176,"0,2364","60,42"
2020-01-29 05-PM,"9334,23","175,67","0,2364","60,12"
2020-01-29 04-PM,"9344,79","176,25","0,2363","60,41"
2020-01-29 03-PM,"9267,21","175,05","0,2339","59,7"
2020-01-29 02-PM,"9312,54","176,02","0,237","60,27"
2020-01-29 01-PM,"9299,95","175,46","0,2365","60,44"
2020-01-29 12-PM,"9275,22","175,41","0,2373","60,18"
2020-01-29 11-AM,"9280,28","175,85","0,2366","60,35"
2020-01-29 10-AM,"9384,13","177,29","0,2388","61,25"
2020-01-29 09-AM,"9311,38","176,18","0,2381","60,73"
2020-01-29 08-AM,"9372,88","178,2","0,2405","61,37"
2020-01-29 07-AM,"9361,66","178,12","0,2405","61,25"
2020-01-29 06-AM,"9336,03",178,"0,2397","61,5"
2020-01-29 05-AM,"9345,5","176,52","0,2397","61,21"
2020-01-29 04-AM,"9322,58","176,06","0,2386","60,52"
2020-01-29 03-AM,"9343,75","176,67","0,2385","61,1"
2020-01-29 02-AM,"9325,55","175,72","0,2378","61,07"
2020-01-29 01-AM,"9335,52","176,6","0,2384","61,36"
2020-01-29 12-AM,"9322,06","175,76","0,2377","60,89"
2020-01-28 11-PM,9400,"175,8","0,2392","60,76"
2020-01-28 10-PM,9148,"173,89","0,2368","59,29"
2020-01-28 09-PM,"9036,6","172,12","0,2355","59,36"
2020-01-28 08-PM,"9048,31","172,26","0,2363","58,75"
2020-01-28 07-PM,"8986,13","171,28","0,2354","58,43"
2020-01-28 06-PM,"8972,02","170,74","0,2334","58,02"
2020-01-28 05-PM,"8964,71","170,71","0,2331","57,9"
2020-01-28 04-PM,8950,"171,05","0,2328","58,13"
2020-01-28 03-PM,"9008,05","171,89","0,2342","58,72"
2020-01-28 02-PM,"9018,66","171,78","0,2359","58,91"
2020-01-28 01-PM,"9070,3","172,02","0,2377","59,5"
2020-01-28 12-PM,"9032,52","170,9","0,2332","59,28"
2020-01-28 11-AM,"9070,88","171,53","0,2336","59,83"
2020-01-28 10-AM,"9007,61","171,41","0,2327","59,82"
2020-01-28 09-AM,"8964,56","170,49","0,2328","59,29"
2020-01-28 08-AM,"8991,28","171,11","0,2333","59,74"
2020-01-28 07-AM,"9038,21","172,16","0,2333","59,88"
2020-01-28 06-AM,"9002,12","171,29","0,2319","59,58"
2020-01-28 05-AM,"9045,17","171,95","0,2323","59,9"
2020-01-28 04-AM,"9042,93","171,97","0,2324","59,72"
2020-01-28 03-AM,"9088,98","172,64","0,2333","60,65"
2020-01-28 02-AM,"9102,08","172,82","0,2334","60,96"
2020-01-28 01-AM,"9123,17","173,09","0,2346","61,26"
2020-01-28 12-AM,"9059,08","171,3","0,2319",60
2020-01-27 11-PM,"8894,54","169,73","0,2302","58,57"
2020-01-27 10-PM,"8887,22","170,69","0,2302","58,62"
2020-01-27 09-PM,"8947,05","170,98","0,2326","58,8"
2020-01-27 08-PM,"8980,22","171,63","0,2331","59,05"
2020-01-27 07-PM,"8906,11","170,74","0,2324","58,84"
2020-01-27 06-PM,"8866,02","170,63","0,2329","59,27"
2020-01-27 05-PM,"8752,44","169,31","0,2304","58,59"
2020-01-27 04-PM,"8765,78",170,"0,2309","59,05"
2020-01-27 03-PM,"8759,42","169,21","0,2311","58,89"
2020-01-27 02-PM,"8746,03","169,54","0,2316","58,86"
2020-01-27 01-PM,"8715,02","168,74","0,2301","58,5"
2020-01-27 12-PM,"8723,91","169,25","0,2309","58,32"
2020-01-27 11-AM,"8705,8","167,79","0,2293","57,93"
2020-01-27 10-AM,"8616,96","165,48","0,2264","55,84"
2020-01-27 09-AM,8612,"165,92","0,227","56,38"
2020-01-27 08-AM,"8573,79","165,54","0,2263","55,99"
2020-01-27 07-AM,"8643,72","167,16","0,2283","56,57"
2020-01-27 06-AM,"8644,95","166,96","0,2278","56,59"
2020-01-27 05-AM,"8626,68","166,87","0,228","56,42"
2020-01-27 04-AM,"8609,92","166,48","0,2275","56,2"
2020-01-27 03-AM,"8639,21","167,52","0,2283","56,22"
2020-01-27 02-AM,"8619,47","167,37","0,2291","56,4"
2020-01-27 01-AM,8630,"167,75","0,2294","56,64"
2020-01-27 12-AM,"8636,77","169,21","0,23","56,57"
2020-01-26 11-PM,"8590,48","167,65","0,2303","56,22"
2020-01-26 10-PM,"8551,09","166,69","0,2276","55,77"
2020-01-26 09-PM,"8577,78","167,3","0,226","56,15"
2020-01-26 08-PM,8542,"166,16","0,2256","56,01"
2020-01-26 07-PM,"8538,4","165,9","0,2254","55,74"
2020-01-26 06-PM,"8553,43","165,88","0,2261","56,08"
2020-01-26 05-PM,"8555,64","166,02","0,2269","56,12"
2020-01-26 04-PM,"8489,02","164,19","0,2239","54,95"
2020-01-26 03-PM,"8424,82",163,"0,222","54,09"
2020-01-26 02-PM,"8429,27","163,16","0,2229","54,57"
2020-01-26 01-PM,8431,"163,05","0,2221","54,58"
2020-01-26 12-PM,"8432,17","163,11","0,2228","54,58"
2020-01-26 11-AM,8450,"162,7","0,2227","54,45"
2020-01-26 10-AM,"8424,34","162,53","0,2221","54,46"
2020-01-26 09-AM,"8387,55","161,86","0,2215","54,28"
2020-01-26 08-AM,"8390,97","162,21","0,2217","54,09"
2020-01-26 07-AM,"8365,38","160,88","0,2203","53,61"
2020-01-26 06-AM,"8340,42","160,75","0,22","53,26"
2020-01-26 05-AM,"8348,11","160,4","0,2204","53,5"
2020-01-26 04-AM,"8332,68","160,13","0,2199","53,55"
2020-01-26 03-AM,8333,"160,92","0,2214","53,59"
2020-01-26 02-AM,"8291,39","159,27","0,2193","53,1"
2020-01-26 01-AM,"8314,6",160,"0,2195","53,05"
2020-01-26 12-AM,"8296,98","159,49","0,2184","53,24"
2020-01-25 11-PM,"8329,5","160,54","0,2189","53,29"
2020-01-25 10-PM,"8335,88","161,05","0,22","53,59"
2020-01-25 09-PM,"8362,28","161,19","0,2208","53,76"
2020-01-25 08-PM,8347,"160,78","0,2195","53,47"
2020-01-25 07-PM,"8340,01","160,7","0,2197","53,78"
2020-01-25 06-PM,8323,"160,63","0,2188","53,27"
2020-01-25 05-PM,"8322,99","159,98","0,2186","53,14"
2020-01-25 04-PM,"8332,28","160,73","0,2203","53,41"
2020-01-25 03-PM,"8320,99","159,77","0,2196","53,2"
2020-01-25 02-PM,"8296,29","159,88","0,2192","53,1"
2020-01-25 01-PM,"8300,81","159,48","0,2188","53,1"
2020-01-25 12-PM,"8273,46","158,46","0,2175","52,67"
2020-01-25 11-AM,"8300,71","158,64","0,2175","53,02"
2020-01-25 10-AM,"8305,12",159,"0,2185","52,98"
2020-01-25 09-AM,"8319,35","160,05","0,2202","53,5"
2020-01-25 08-AM,"8344,68","160,8","0,2208","54,08"
2020-01-25 07-AM,"8294,6","158,87","0,2189",53
2020-01-25 06-AM,"8315,58","159,26","0,2189","53,34"
2020-01-25 05-AM,"8301,11","159,36","0,218","53,04"
2020-01-25 04-AM,"8304,19","159,03","0,2176","52,83"
2020-01-25 03-AM,"8283,27","158,96","0,2171","52,85"
2020-01-25 02-AM,"8308,82","159,01","0,2177","52,77"
2020-01-25 01-AM,"8270,81","157,9","0,2164","52,63"
2020-01-25 12-AM,"8293,16","158,25","0,2172","52,82"
2020-01-24 11-PM,"8422,13","162,15","0,222","54,15"
2020-01-24 10-PM,"8448,03","162,38","0,2215","54,57"
2020-01-24 09-PM,"8491,51","162,89","0,223","54,71"
2020-01-24 08-PM,"8470,73","163,19","0,2228","54,66"
2020-01-24 07-PM,"8496,58","163,74","0,2232","54,89"
2020-01-24 06-PM,"8472,11","161,32","0,2225","54,4"
2020-01-24 05-PM,"8461,41","160,75","0,2216","54,09"
2020-01-24 04-PM,"8451,78","160,74","0,2217","54,28"
2020-01-24 03-PM,"8493,33","162,14","0,2228","55,01"
2020-01-24 02-PM,"8451,3","161,69","0,2236","54,77"
2020-01-24 01-PM,"8443,87",161,"0,2241","54,64"
2020-01-24 12-PM,"8416,76","160,76","0,2227","54,29"
2020-01-24 11-AM,"8388,39","160,01","0,2202","53,71"
2020-01-24 10-AM,"8222,58","155,74","0,2141","51,23"
2020-01-24 09-AM,"8236,64","155,73","0,2144","50,9"
2020-01-24 08-AM,"8311,71","158,42","0,2198","52,31"
2020-01-24 07-AM,"8317,13","158,99","0,2199","52,45"
2020-01-24 06-AM,"8329,96","159,06","0,2218","52,76"
2020-01-24 05-AM,"8301,9","159,36","0,2211","52,43"
2020-01-24 04-AM,"8288,35","158,06","0,2198","52,12"
2020-01-24 03-AM,"8309,33","159,17","0,2209","52,6"
2020-01-24 02-AM,8288,"158,22","0,2194","52,33"
2020-01-24 01-AM,"8351,58","161,16","0,2222","53,92"
2020-01-24 12-AM,"8402,15","162,75","0,2253","54,2"
2020-01-23 11-PM,"8378,44","162,51","0,225","54,38"
2020-01-23 10-PM,"8398,77","162,95","0,2257","54,07"
2020-01-23 09-PM,"8388,01","162,22","0,2247","54,23"
2020-01-23 08-PM,"8355,96","160,91","0,2224","53,64"
2020-01-23 07-PM,"8349,89","160,02","0,222","53,56"
2020-01-23 06-PM,"8307,63","158,82","0,2207","53,1"
2020-01-23 05-PM,"8302,07","160,88","0,2224","53,5"
2020-01-23 04-PM,"8314,46","161,83","0,2247","54,6"
2020-01-23 03-PM,"8325,28","162,82","0,2258","55,18"
2020-01-23 02-PM,8330,"161,85","0,2257","54,96"
2020-01-23 01-PM,"8320,75","161,07","0,2241",55
2020-01-23 12-PM,"8381,57",162,"0,2264","55,96"
